REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DENGGS,2015,0
REGION1,DENGGS,2016,0
REGION1,DENGGS,2017,0
REGION1,DENGGS,2018,0
REGION1,DENGGS,2019,0
REGION1,DENGGS,2020,0
REGION1,DENGGS,2021,0
REGION1,DENGGS,2022,0
REGION1,DENGGS,2023,342720
REGION1,DENGGS,2024,342720
REGION1,DENGGS,2025,342720
REGION1,DENGGS,2026,628991.652
REGION1,DENGGS,2027,628991.652
REGION1,DENGGS,2028,628991.652
REGION1,DENGGS,2029,628991.652
REGION1,DENGGS,2030,628991.652
REGION1,DENGGS,2031,628991.652
REGION1,DENGGS,2032,628991.652
REGION1,DENGGS,2033,628991.652
REGION1,DENGGS,2034,628991.652
REGION1,DENGGS,2035,628991.652
REGION1,DENGGS,2036,628991.652
REGION1,DENGGS,2037,628991.652
REGION1,DENGGS,2038,628991.652
REGION1,DENGGS,2039,628991.652
REGION1,DENGGS,2040,628991.652
REGION1,DENGGS,2041,628991.652
REGION1,DENGGS,2042,628991.652
REGION1,DENGGS,2043,628991.652
REGION1,DENGGS,2044,628991.652
REGION1,DENGGS,2045,628991.652
REGION1,DENGGS,2046,628991.652
REGION1,DENGGS,2047,628991.652
REGION1,DENGGS,2048,628991.652
REGION1,DENGGS,2049,628991.652
REGION1,DENGGS,2050,628991.652
REGION1,DENGGS,2051,628991.652
REGION1,DENGGS,2052,628991.652
REGION1,DENGGS,2053,628991.652
REGION1,DENGGS,2054,628991.652
REGION1,DENGGS,2055,628991.652
REGION1,DENGGS,2056,628991.652
REGION1,DENGGS,2057,628991.652
REGION1,DENGGS,2058,628991.652
REGION1,DENGGS,2059,628991.652
REGION1,DENGGS,2060,628991.652
REGION1,EENGGS,2015,0
REGION1,EENGGS,2016,0
REGION1,EENGGS,2017,0
REGION1,EENGGS,2018,0
REGION1,EENGGS,2019,0
REGION1,EENGGS,2020,0
REGION1,EENGGS,2021,0
REGION1,EENGGS,2022,0
REGION1,EENGGS,2023,0
REGION1,EENGGS,2024,0
REGION1,EENGGS,2025,0
REGION1,EENGGS,2026,131040
REGION1,EENGGS,2027,131040
REGION1,EENGGS,2028,131040
REGION1,EENGGS,2029,131040
REGION1,EENGGS,2030,131040
REGION1,EENGGS,2031,131040
REGION1,EENGGS,2032,131040
REGION1,EENGGS,2033,131040
REGION1,EENGGS,2034,131040
